Drugs ,Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Smiles
,RS4-11,ALL,blood,leukemia,0.007716,0.897759,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.007914,0.925411,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.008024,0.909767,
,H4,LGG,nervous_system,glioma,0.008029,0.870047,
,BC-1,DLBC,blood,B_cell_lymphoma,0.008134,0.897362,
,LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,0.008161,0.841625,
,DU-4475,BRCA,breast,breast,0.008507,0.908721,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.008997,0.914158,
,ML-2,LAML,blood,acute_myeloid_leukaemia,0.009108,0.902967,
,RC-K8,DLBC,blood,B_cell_lymphoma,0.009571,0.866563,
,IM-9,MM,blood,myeloma,0.009582,0.911944,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.009769,0.951817,
,C-33-A,CESC,urogenital_system,cervix,0.009837,0.869221,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.009885,0.929327,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.010041,0.944452,
,SNU-175,COREAD,digestive_system,large_intestine,0.010222,0.875313,
,KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.010564,0.892556,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.010813,0.923545,
,BICR22,HNSC,aero_digestive_tract,head_and_neck,0.010829,0.886601,
,LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.010938,0.838092,
,D-283MED,MB,nervous_system,medulloblastoma,0.011041,0.90373,
,KU812,LCML,blood,chronic_myeloid_leukaemia,0.011224,0.896305,
,MN-60,UNCLASSIFIED,blood,B_cell_leukemia,0.011251,0.875076,
,JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,0.011371,0.919651,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.011437,0.899542,
,K5,THCA,thyroid,thyroid,0.011521,0.868145,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.011682,0.931636,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.012147,0.939056,
Parthenolide,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.01224,0.903809,C/C/1=C\CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.549725,0.596962,
,no-10,LGG,nervous_system,glioma,1.41563,0.712868,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.506797,0.762558,
,ALL-SIL,ALL,blood,T_cell_leukemia,1.844053,0.787308,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,1.923465,0.80813,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,1.927933,0.815011,
,A3-KAW,DLBC,blood,B_cell_lymphoma,1.997198,0.809022,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,2.024998,0.822798,
,HEL,LAML,blood,acute_myeloid_leukaemia,2.037302,0.805321,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,2.083029,0.794324,
,SF539,LGG,nervous_system,glioma,2.166815,0.804341,
,EM-2,LCML,blood,chronic_myeloid_leukaemia,2.207203,0.76825,
,H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.255312,0.799977,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.329125,0.826914,
,MOLP-8,MM,blood,myeloma,2.528452,0.818633,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,2.585905,0.823969,
,JJN-3,MM,blood,haematopoietic_neoplasm_other,2.748336,0.843728,
,JM1,DLBC,blood,B_cell_lymphoma,2.753499,0.843607,
,GCIY,STAD,digestive_system,stomach,2.792291,0.801752,
,NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.841443,0.836199,
,NB13,NB,nervous_system,neuroblastoma,2.845899,0.833886,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,2.897732,0.855552,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,3.053531,0.88146,
,SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,3.069782,0.833929,
,SCC-3,DLBC,blood,B_cell_lymphoma,3.111558,0.877686,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,3.129781,0.828539,
,SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.137546,0.84181,
,NCI-H524,SCLC,lung,lung_small_cell_carcinoma,3.175178,0.841297,
,MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,3.189098,0.847061,
,NB10,NB,nervous_system,neuroblastoma,3.223874,0.825719,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,3.285564,0.865292,
,KGN,UNCLASSIFIED,urogenital_system,ovary,3.344463,0.816236,
,RKO,COREAD,digestive_system,large_intestine,3.347806,0.847997,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,3.381023,0.898506,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,3.397809,0.876802,
,Farage,DLBC,blood,B_cell_lymphoma,3.406427,0.869685,
,SC-1,-,blood,B_cell_lymphoma,3.406822,0.854328,
,NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,3.583636,0.864286,
,SK-N-DZ,NB,nervous_system,neuroblastoma,3.605914,0.822642,
,BB65-RCC,KIRC,kidney,kidney,3.79234,0.821447,
,NCI-H2196,SCLC,lung,lung_small_cell_carcinoma,3.798974,0.839554,
,NEC8,UNCLASSIFIED,urogenital_system,testis,3.817967,0.878939,
,OCI-AML5,LAML,blood,acute_myeloid_leukaemia,3.892257,0.869191,
,RF-48,STAD,digestive_system,stomach,3.90067,0.826002,
,MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,3.929036,0.854019,
,KM12,COREAD,digestive_system,large_intestine,4.083313,0.839711,
,HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,4.084496,0.862161,
,GI-ME-N,NB,nervous_system,neuroblastoma,4.146872,0.823801,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,4.178564,0.911501,
Thapsigargin,NB14,NB,nervous_system,neuroblastoma,4.240621,0.874907,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O
,SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.000375,0.039282,
,SNU-398,LIHC,digestive_system,liver,0.000496,0.037252,
,MCF7,BRCA,breast,breast,0.00056,0.046501,
,LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,0.00058,0.046599,
,NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000584,0.056365,
,HPAC,PAAD,pancreas,pancreas,0.000592,0.086053,
,8505C,THCA,thyroid,thyroid,0.000647,0.054644,
,HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000689,0.044882,
,HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000733,0.0591,
,NUGC-4,STAD,digestive_system,stomach,0.000748,0.058031,
,T-T,ESCA,aero_digestive_tract,oesophagus,0.000763,0.055538,
,HCC1937,BRCA,breast,breast,0.00077,0.077355,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.000841,0.055398,
,HGC-27,STAD,digestive_system,stomach,0.000864,0.035849,
,SW1710,BLCA,urogenital_system,bladder,0.000882,0.069176,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.000889,0.06653,
,786-0,KIRC,kidney,kidney,0.000919,0.054033,
,A172,GBM,nervous_system,glioma,0.000983,0.070224,
,TT2609-C02,THCA,thyroid,thyroid,0.000986,0.079291,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.001006,0.085986,
,ASH-3,THCA,thyroid,thyroid,0.001016,0.067275,
,NCI-H2369,MESO,lung,mesothelioma,0.001119,0.077975,
,TOV-112D,OV,urogenital_system,ovary,0.001135,0.088498,
,IGROV-1,OV,urogenital_system,ovary,0.001142,0.110727,
,CAPAN-2,PAAD,pancreas,pancreas,0.001167,0.11962,
,DMS-273,SCLC,lung,lung_small_cell_carcinoma,0.001329,0.103247,
,NY,UNCLASSIFIED,bone,osteosarcoma,0.001331,0.110647,
,ES4,UNCLASSIFIED,bone,ewings_sarcoma,0.001331,0.110875,
,CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.001424,0.110547,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.00149,0.067678,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.001504,0.067995,
,KYSE-410,ESCA,aero_digestive_tract,oesophagus,0.001557,0.115533,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.001569,0.107474,
,WM793B,SKCM,skin,melanoma,0.001693,0.117276,
,639-V,BLCA,urogenital_system,bladder,0.001695,0.087216,
,A2058,SKCM,skin,melanoma,0.001728,0.103523,
,NOS-1,UNCLASSIFIED,bone,osteosarcoma,0.001731,0.146157,
,TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,0.001738,0.112985,
,NB7,NB,nervous_system,neuroblastoma,0.00175,0.118636,
,HOS,UNCLASSIFIED,bone,osteosarcoma,0.001751,0.101112,
,KYSE-70,ESCA,aero_digestive_tract,oesophagus,0.001782,0.130377,
,KARPAS-620,MM,blood,haematopoietic_neoplasm_other,0.001793,0.08996,
,OVCAR-5,OV,urogenital_system,ovary,0.001794,0.143941,
,ALL-SIL,ALL,blood,T_cell_leukemia,0.001814,0.08705,
,SK-OV-3,OV,urogenital_system,ovary,0.001868,0.154416,
,ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.001884,0.143379,
,IHH-4,THCA,thyroid,thyroid,0.001887,0.083379,
,KP-1N,PAAD,pancreas,pancreas,0.001893,0.125044,
,KGN,UNCLASSIFIED,urogenital_system,ovary,0.001894,0.140433,
Bleomycin,KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,0.001895,0.14662,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
,CAL-85-1,BRCA,breast,breast,0.026981,0.042597,
,HAL-01,ALL,blood,lymphoblastic_leukemia,0.041669,0.032447,
,LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.042905,0.034419,
,RMG-I,UNCLASSIFIED,urogenital_system,ovary,0.042923,0.051228,
,RS4-11,ALL,blood,leukemia,0.043843,0.026086,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.044521,0.027801,
,CAL-39,CESC,urogenital_system,cervix,0.045591,0.029719,
,SNU-398,LIHC,digestive_system,liver,0.046736,0.028547,
,CAL-54,KIRC,kidney,kidney,0.046798,0.041383,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.047465,0.025811,
,A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.049595,0.036561,
,CAL-51,BRCA,breast,breast,0.049631,0.026115,
,MKN28,STAD,digestive_system,stomach,0.057123,0.043893,
,MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.058539,0.056786,
,KGN,UNCLASSIFIED,urogenital_system,ovary,0.058841,0.053885,
,HCC2998,COREAD,digestive_system,large_intestine,0.058889,0.03811,
,HCC1937,BRCA,breast,breast,0.067332,0.059703,
,NKM-1,LAML,blood,acute_myeloid_leukaemia,0.06786,0.05933,
,OVCAR-8,OV,urogenital_system,ovary,0.070059,0.037163,
,CESS,LAML,blood,acute_myeloid_leukaemia,0.070282,0.027314,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.078703,0.034565,
,IST-SL2,SCLC,lung,lung_small_cell_carcinoma,0.079424,0.061292,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.079875,0.023104,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.080009,0.052794,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.089013,0.054602,
,SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.089445,0.050027,
,HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,0.091996,0.059319,
,COLO-668,SCLC,lung,lung_small_cell_carcinoma,0.095607,0.062611,
,NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,0.097321,0.07038,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.108846,0.077306,
,REH,UNCLASSIFIED,blood,B_cell_leukemia,0.116252,0.059335,
,BPH-1,UNCLASSIFIED,urogenital_system,prostate,0.11813,0.086762,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.121141,0.044409,
,LN-18,GBM,nervous_system,glioma,0.12246,0.036319,
,MKN45,STAD,digestive_system,stomach,0.123184,0.107487,
,KS-1,GBM,nervous_system,glioma,0.129787,0.112528,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.141501,0.042738,
,NMC-G1,LGG,nervous_system,glioma,0.145609,0.112205,
,786-0,KIRC,kidney,kidney,0.146169,0.067921,
,NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.146636,0.101082,
,EFM-19,BRCA,breast,breast,0.151386,0.136847,
,STS-0421,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.154364,0.10725,
,SW13,ACC,kidney,adrenal_gland,0.156682,0.086933,
,EFM-192A,BRCA,breast,breast,0.162295,0.112083,
,SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.162936,0.083878,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.167182,0.073605,
,SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.173782,0.087251,
,SW1573,LUAD,lung,lung_NSCLC_adenocarcinoma,0.176761,0.133243,
,KYSE-150,ESCA,aero_digestive_tract,oesophagus,0.177139,0.08583,
Cyclopamine,COR-L23,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.177582,0.095424,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1  
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,6.352048,0.80467,
,DOHH-2,DLBC,blood,B_cell_lymphoma,6.555125,0.796482,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,8.216639,0.83807,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,8.607406,0.841156,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,8.950566,0.869792,
,8-MG-BA,GBM,nervous_system,glioma,9.135318,0.831132,
,OS-RC-2,KIRC,kidney,kidney,9.176474,0.775014,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,9.190542,0.811061,
,SU-DHL-4,DLBC,blood,B_cell_lymphoma,9.40588,0.890134,
,SC-1,-,blood,B_cell_lymphoma,9.558798,0.839514,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,9.723805,0.843274,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,10.207722,0.887403,
,no-10,LGG,nervous_system,glioma,10.876987,0.814327,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,12.332678,0.886619,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,13.057895,0.916147,
,KU812,LCML,blood,chronic_myeloid_leukaemia,13.360531,0.866782,
,EVSA-T,BRCA,breast,breast,13.713337,0.877301,
,NB4,LAML,blood,acute_myeloid_leukaemia,14.144951,0.903182,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,14.239648,0.899161,
,ML-2,LAML,blood,acute_myeloid_leukaemia,15.187088,0.886701,
,GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,15.207338,0.875187,
,KE-37,ALL,blood,lymphoblastic_leukemia,15.514666,0.926684,
,MC116,DLBC,blood,B_cell_lymphoma,15.581706,0.952838,
,KARPAS-45,ALL,blood,lymphoblastic_leukemia,16.19888,0.906026,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,16.989712,0.891069,
,IST-MES1,MESO,lung,mesothelioma,17.609108,0.875304,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,17.795075,0.918031,
,ARH-77,MM,blood,myeloma,17.825274,0.894524,
,MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,17.968465,0.902757,
,Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,20.317783,0.912985,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,20.82545,0.949988,
,LAMA-84,LCML,blood,chronic_myeloid_leukaemia,21.759464,0.89749,
,A3-KAW,DLBC,blood,B_cell_lymphoma,21.932785,0.943766,
,KCL-22,LCML,blood,chronic_myeloid_leukaemia,22.352606,0.934387,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,22.969945,0.953345,
,COLO-829,SKCM,skin,melanoma,23.111327,0.858617,
,MY-M12,ALL,blood,leukemia,23.162196,0.897535,
,VAL,DLBC,blood,B_cell_lymphoma,23.228626,0.890672,
,L-363,MM,blood,myeloma,23.531605,0.931154,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,23.611704,0.939364,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,24.745988,0.904303,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,25.247514,0.910408,
,RS4-11,ALL,blood,leukemia,25.486151,0.917241,
,KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,25.730001,0.93212,
,D-247MG,GBM,nervous_system,glioma,25.748438,0.878341,
,RPMI-8226,MM,blood,myeloma,26.235205,0.925841,
,PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,27.542622,0.933112,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,27.699414,0.918271,
,GI-1,LGG,nervous_system,glioma,27.87009,0.931712,
Epothilone B,COLO-320-HSR,COREAD,digestive_system,large_intestine,28.49561,0.930648,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C  
,SW1710,BLCA,urogenital_system,bladder,0.000055,0.069506,
,786-0,KIRC,kidney,kidney,0.000103,0.092641,
,KYSE-510,ESCA,aero_digestive_tract,oesophagus,0.000129,0.098654,
,LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000135,0.13328,
,SNU-398,LIHC,digestive_system,liver,0.000139,0.130762,
,TE-8,ESCA,aero_digestive_tract,oesophagus,0.000198,0.187314,
,TE-15,ESCA,aero_digestive_tract,oesophagus,0.000231,0.20758,
,PCI-6A,HNSC,aero_digestive_tract,head_and_neck,0.000232,0.181932,
,A431,UNCLASSIFIED,skin,skin_other,0.000244,0.18119,
,Daoy,MB,nervous_system,medulloblastoma,0.000246,0.1782,
,GB-1,GBM,nervous_system,glioma,0.000255,0.214092,
,PSN1,PAAD,pancreas,pancreas,0.000256,0.174447,
,KON,HNSC,aero_digestive_tract,head_and_neck,0.000275,0.199269,
,639-V,BLCA,urogenital_system,bladder,0.000305,0.202552,
,MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.000329,0.250764,
,NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.000343,0.226822,
,MCF7,BRCA,breast,breast,0.000358,0.24374,
,JHU-011,HNSC,aero_digestive_tract,head_and_neck,0.000361,0.237146,
,HGC-27,STAD,digestive_system,stomach,0.000373,0.222996,
,Ca9-22,HNSC,aero_digestive_tract,head_and_neck,0.000383,0.241035,
,T-T,ESCA,aero_digestive_tract,oesophagus,0.000388,0.250495,
,D-566MG,GBM,nervous_system,glioma,0.000397,0.246609,
,BFTC-905,BLCA,urogenital_system,bladder,0.000397,0.244179,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.000398,0.231278,
,T84,COREAD,digestive_system,large_intestine,0.000398,0.262905,
,RKO,COREAD,digestive_system,large_intestine,0.0004,0.247672,
,PANC-03-27,PAAD,pancreas,pancreas,0.000402,0.251834,
,HSC-2,HNSC,aero_digestive_tract,head_and_neck,0.000407,0.248592,
,CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.000408,0.26961,
,IHH-4,THCA,thyroid,thyroid,0.000413,0.236921,
,IGROV-1,OV,urogenital_system,ovary,0.000421,0.28516,
,TT2609-C02,THCA,thyroid,thyroid,0.000427,0.271094,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000428,0.26726,
,SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,0.000428,0.261549,
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.000429,0.230036,
,LU-135,SCLC,lung,lung_small_cell_carcinoma,0.000463,0.272028,
,PCI-4B,HNSC,aero_digestive_tract,head_and_neck,0.000468,0.275068,
,NCI-H2228,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000477,0.314258,
,SNG-M,UCEC,urogenital_system,endometrium,0.000479,0.288499,
,BHY,HNSC,aero_digestive_tract,head_and_neck,0.000481,0.278818,
,KYSE-450,ESCA,aero_digestive_tract,oesophagus,0.000494,0.284097,
,VMRC-RCZ,KIRC,kidney,kidney,0.000506,0.30495,
,KYSE-270,ESCA,aero_digestive_tract,oesophagus,0.000518,0.280763,
,KGN,UNCLASSIFIED,urogenital_system,ovary,0.000525,0.307299,
,CAL-39,CESC,urogenital_system,cervix,0.000525,0.294056,
,HT-29,COREAD,digestive_system,large_intestine,0.000548,0.314475,
,HLE,LIHC,digestive_system,liver,0.000552,0.30556,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.000554,0.31011,
,LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.000557,0.307691,
Podophyllotoxin,KYSE-50,ESCA,aero_digestive_tract,oesophagus,0.000568,0.300673,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O 
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.044528,0.548269,
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.046317,0.552944,
,H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.046648,0.55519,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.056344,0.578631,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.057295,0.584136,
,IM-9,MM,blood,myeloma,0.058289,0.585305,
,WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.059505,0.585433,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.060706,0.594107,
,NB13,NB,nervous_system,neuroblastoma,0.061347,0.587433,
,U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.061449,0.589834,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.06487,0.601888,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.064884,0.598567,
,SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.066052,0.590278,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.066092,0.599457,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.066139,0.60493,
,NB14,NB,nervous_system,neuroblastoma,0.066863,0.601946,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.067341,0.609382,
,TGW,NB,nervous_system,neuroblastoma,0.070251,0.603501,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.072459,0.619321,
,MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.072631,0.608202,
,NY,UNCLASSIFIED,bone,osteosarcoma,0.073141,0.602704,
,L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.073457,0.615034,
,Jurkat,ALL,blood,T_cell_leukemia,0.073597,0.617015,
,NCI-H1792,LUAD,lung,lung_NSCLC_adenocarcinoma,0.073894,0.610893,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.073933,0.614396,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.076911,0.626276,
,KMS-12-BM,MM,blood,myeloma,0.078891,0.628448,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.079999,0.633505,
,BC-1,DLBC,blood,B_cell_lymphoma,0.080042,0.628604,
,SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,0.081116,0.623381,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.081364,0.633621,
,ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.08191,0.62816,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.082011,0.634266,
,NCI-H524,SCLC,lung,lung_small_cell_carcinoma,0.082368,0.629078,
,MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.08299,0.627732,
,KELLY,NB,nervous_system,neuroblastoma,0.083054,0.632431,
,LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.08511,0.637625,
,RF-48,STAD,digestive_system,stomach,0.085121,0.625263,
,NCI-H82,SCLC,lung,lung_small_cell_carcinoma,0.085189,0.632803,
,Daoy,MB,nervous_system,medulloblastoma,0.086055,0.629535,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.087936,0.634149,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.08798,0.647754,
,SW13,ACC,kidney,adrenal_gland,0.088263,0.632078,
,NCI-H1651,LUAD,lung,lung_NSCLC_adenocarcinoma,0.088315,0.629673,
,DB,DLBC,blood,B_cell_lymphoma,0.088744,0.631458,
,BICR22,HNSC,aero_digestive_tract,head_and_neck,0.089585,0.633254,
,H4,LGG,nervous_system,glioma,0.090289,0.636339,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,0.090965,0.647079,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.09102,0.650685,
Bryostatin 1,EW-18,UNCLASSIFIED,bone,ewings_sarcoma,0.092258,0.632326,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)/C[C@H]2C[C@@H](OC(=O)C[C@@H](C[C@@H]3C[C@@H](C([C@@](O3)(C[C@@H]4C/C(=C/C(=O)OC)/C[C@@H](O4)/C=C/C([C@@]1(O2)O)(C)C)O)(C)C)OC(=O)C)O)[C@@H](C)O 
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.001716,0.718061,
,M059J,GBM,nervous_system,glioma,0.001774,0.68967,
,MOG-G-UVW,LGG,nervous_system,glioma,0.00263,0.754688,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.003306,0.793275,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.00332,0.81119,
,D-542MG,GBM,nervous_system,glioma,0.003419,0.764158,
,BPH-1,UNCLASSIFIED,urogenital_system,prostate,0.004323,0.795636,
,RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,0.004441,0.80404,
,EFM-192A,BRCA,breast,breast,0.004544,0.79732,
,M14,SKCM,skin,melanoma,0.004633,0.803228,
,YKG-1,GBM,nervous_system,glioma,0.005281,0.828986,
,P30-OHK,ALL,blood,lymphoblastic_leukemia,0.005586,0.87414,
,HT55,COREAD,digestive_system,large_intestine,0.00577,0.837121,
