drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB06444,Dexanabinol,Small Molecule,CCCCCCC(C)(C)C1=CC(O)=C2[C@H]3CC(CO)=CC[C@@H]3C(C)(C)OC2=C1,investigational,"[80, 114, 222, 231, 260, 294, 387, 392, 455, 519, 571, 591, 598, 656, 701, 763, 794, 807, 837, 860, 875, 926, 982, 999, 1019, 1057, 1060, 1143, 1151, 1166, 1274, 1282, 1308, 1380, 1417, 1424, 1444, 1494, 1510, 1594, 1602, 1607, 1619, 1648, 1716, 1781, 1809, 1873, 1905, 1911, 1949, 1953, 2010]",C062018,1743,C
DB06445,Diethylnorspermine,Small Molecule,CCNCCCNCCCNCCCNCC,investigational,"[80, 294, 603, 667, 771, 839, 1004, 1020, 1057, 1152, 1322, 1726, 1911]",C059685,1744,E
DB06446,Dotarizine,Small Molecule,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1,investigational,"[1, 15, 74, 80, 389, 461, 556, 653, 656, 772, 776, 795, 926, 935, 950, 1017, 1060, 1088, 1145, 1150, 1199, 1265, 1321, 1364, 1365, 1380, 1423, 1471, 1480, 1482, 1581, 1589, 1627, 1657, 1750, 1791, 1873, 1911, 2026]",C083946,1745,A
DB06447,E5531,Small Molecule,[H]N([C@H]1[C@@H](OP(O)(O)=O)O[C@H](CO[C@@H]2O[C@H](COC)[C@@H](OP(O)(O)=O)[C@H](OCC[C@@H](CCCCCCC)OC(=O)CCC\C=C/CCCCCC)[C@H]2N([H])C(=O)CC(=O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OCC[C@H](O)CCCCCCC)C(=O)CC(=O)CCCCCCCCCCC,investigational,"[1, 13, 29, 41, 69, 80, 125, 192, 227, 229, 265, 294, 325, 387, 401, 421, 443, 486, 547, 564, 591, 610, 619, 637, 643, 650, 656, 694, 695, 696, 739, 775, 787, 794, 807, 823, 841, 845, 920, 976, 1005, 1019, 1057, 1123, 1136, 1143, 1148, 1152, 1187, 1238, 1257, 1267, 1283, 1323, 1356, 1386, 1388, 1399, 1432, 1440, 1441, 1444, 1487, 1488, 1564, 1569, 1614, 1619, 1623, 1625, 1640, 1755, 1760, 1780, 1819, 1838, 1873, 1878, 1911, 1917, 1921, 1937, 1950, 1977, 2038]",C092845,1746,C
DB06448,Lonafarnib,Small Molecule,NC(=O)N1CCC(CC(=O)N2CCC(CC2)[C@H]2C3=C(CCC4=C2C(Br)=CC(Cl)=C4)C=C(Br)C=N3)CC1,approved investigational,"[29, 36, 80, 128, 140, 191, 216, 223, 274, 280, 371, 376, 378, 435, 561, 585, 650, 652, 728, 760, 800, 807, 833, 875, 909, 925, 926, 935, 1004, 1009, 1019, 1058, 1123, 1129, 1171, 1220, 1236, 1325, 1328, 1346, 1380, 1419, 1452, 1453, 1480, 1535, 1631, 1648, 1665, 1683, 1719, 1738, 1747, 1770, 1803, 1873, 1908, 1917, 2009]",C115354,1747,A
DB06451,Aprinocarsen,Small Molecule,[H]C1(O)CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])COP(O)(=S)OC1([H])CC([H])(OC1([H])CO)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=CC(=N)N=C1O)N1C=C(C)C(O)=NC1=O)N1C=CC(=N)N=C1O)N1C=NC2=C1NC(=N)N=C2O)N1C=CC(=N)N=C1O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C(N)N=CN=C12)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=CC(=N)N=C1O)N1C=NC2=C(N)N=CN=C12,investigational,"[4, 80, 97, 106, 111, 192, 194, 209, 222, 240, 244, 314, 315, 367, 378, 434, 445, 464, 489, 563, 573, 577, 606, 610, 623, 643, 650, 656, 695, 742, 798, 807, 849, 859, 860, 863, 896, 899, 926, 932, 935, 962, 966, 1000, 1003, 1015, 1019, 1033, 1048, 1057, 1094, 1095, 1101, 1108, 1114, 1136, 1140, 1171, 1253, 1257, 1292, 1380, 1391, 1452, 1457, 1459, 1463, 1512, 1516, 1522, 1550, 1572, 1585, 1602, 1691, 1696, 1697, 1716, 1722, 1724, 1729, 1745, 1750, 1764, 1794, 1807, 1810, 1819, 1837, 1838, 1855, 1873, 1877, 1887, 1920, 1921, 1989, 2021]",C488084,1748,B
DB06454,Sarizotan,Small Molecule,FC1=CC=C(C=C1)C1=CN=CC(CNC[C@H]2CCC3=CC=CC=C3O2)=C1,investigational,"[80, 90, 99, 142, 213, 217, 255, 257, 378, 567, 645, 656, 699, 713, 750, 875, 896, 926, 1004, 1019, 1025, 1088, 1152, 1157, 1160, 1199, 1236, 1325, 1380, 1391, 1410, 1458, 1481, 1501, 1535, 1603, 1604, 1670, 1708, 1738, 1750, 1754, 1873, 1875, 1886, 1905, 1928, 1962, 1964]",C443959,1749,C
DB06457,Tecastemizole,Small Molecule,FC1=CC=C(CN2C(NC3CCNCC3)=NC3=CC=CC=C23)C=C1,investigational,"[45, 79, 80, 90, 157, 289, 305, 310, 335, 357, 378, 394, 699, 788, 802, 926, 935, 1019, 1088, 1097, 1114, 1143, 1152, 1179, 1199, 1285, 1308, 1325, 1380, 1410, 1516, 1573, 1589, 1611, 1634, 1670, 1683, 1750, 1754, 1765, 1855, 1873, 1912, 1928]",C106448,1750,C
DB06458,Remacemide,Small Molecule,CC(CC1=CC=CC=C1)(NC(=O)CN)C1=CC=CC=C1,investigational,"[27, 41, 54, 59, 80, 102, 114, 354, 389, 392, 650, 807, 888, 981, 1057, 1066, 1088, 1152, 1171, 1199, 1340, 1346, 1380, 1417, 1586, 1671, 1750, 1754, 1873, 1917, 1942, 2017]",C067553,1751,A
DB06460,Enrasentan,Small Molecule,CCCOC1=CC=C2[C@@H]([C@H]([C@@H](C2=C1)C1=CC=C(OC)C=C1OCCO)C(O)=O)C1=CC=C2OCOC2=C1,investigational,"[13, 34, 76, 80, 222, 294, 322, 335, 389, 398, 441, 473, 635, 650, 656, 695, 718, 738, 781, 794, 807, 841, 870, 875, 926, 1019, 1027, 1034, 1035, 1039, 1057, 1087, 1160, 1195, 1279, 1349, 1369, 1380, 1431, 1452, 1453, 1471, 1501, 1518, 1536, 1647, 1690, 1734, 1750, 1770, 1800, 1803, 1843, 1863, 1873, 1905, 1917, 1968, 1970, 1972, 2002]",C098288,1752,C
DB06461,Squalamine,Small Molecule,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)OS(O)(=O)=O,investigational,"[1, 8, 28, 42, 80, 81, 96, 144, 243, 283, 313, 350, 497, 519, 528, 529, 562, 592, 650, 660, 667, 695, 739, 753, 771, 799, 807, 849, 854, 926, 981, 1004, 1013, 1019, 1020, 1041, 1057, 1060, 1082, 1092, 1152, 1162, 1171, 1257, 1274, 1292, 1298, 1322, 1325, 1366, 1420, 1476, 1477, 1517, 1555, 1569, 1634, 1693, 1772, 1773, 1808, 1810, 1840, 1903, 1911, 1943, 1951]",C079655,1753,D
DB06468,Cariporide,Small Molecule,CC(C)C1=CC=C(C=C1S(C)(=O)=O)C(=O)NC(N)=N,investigational,"[1, 121, 140, 237, 283, 350, 392, 486, 526, 598, 623, 650, 692, 805, 807, 875, 930, 1011, 1057, 1104, 1119, 1152, 1171, 1276, 1380, 1385, 1451, 1476, 1559, 1669, 1697, 1750, 1766, 1854, 1873, 1917, 2020]",C093373,1754,E
DB06469,Lestaurtinib,Small Molecule,C[C@]12O[C@H](C[C@]1(O)CO)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C3C(=O)NC4)C3=CC=CC=C3N21,investigational,"[4, 11, 45, 80, 132, 177, 222, 267, 314, 361, 399, 644, 650, 656, 659, 678, 679, 740, 796, 807, 926, 935, 950, 983, 996, 1019, 1057, 1060, 1070, 1088, 1114, 1154, 1199, 1268, 1274, 1285, 1288, 1346, 1357, 1380, 1386, 1413, 1440, 1492, 1573, 1657, 1701, 1726, 1744, 1747, 1750, 1782, 1866, 1873, 1919, 1938, 1984, 2032]",C119379,1755,C
DB06470,Clomethiazole,Small Molecule,CC1=C(CCCl)SC=N1,investigational,"[50, 80, 92, 102, 153, 234, 378, 614, 675, 924, 1057, 1109, 1200, 1243, 1320, 1380, 1452, 1456, 1567, 1683, 1722, 1727, 1873]",D002719,1756,C
DB06472,Fradafiban,Small Molecule,NC(=N)C1=CC=C(C=C1)C1=CC=C(OC[C@@H]2C[C@@H](CC(O)=O)C(=O)N2)C=C1,investigational,"[66, 80, 82, 102, 140, 180, 301, 314, 322, 338, 389, 408, 567, 621, 623, 650, 695, 718, 749, 807, 819, 896, 926, 1004, 1019, 1034, 1104, 1114, 1136, 1160, 1171, 1178, 1292, 1380, 1385, 1452, 1580, 1611, 1697, 1733, 1737, 1746, 1750, 1873, 1917, 1964]",C107917,1757,A
DB06477,Sumanirole,Small Molecule,CN[C@H]1CN2C(=O)NC3=CC=CC(C1)=C23,investigational,"[119, 231, 314, 577, 613, 650, 729, 739, 758, 800, 926, 935, 987, 1019, 1039, 1054, 1057, 1088, 1114, 1152, 1236, 1380, 1430, 1440, 1468, 1496, 1601, 1634, 1708, 1715, 1745, 1750, 1783, 1791, 1869, 1873]",C108539,1758,C
DB06479,Propentofylline,Small Molecule,CCCN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,investigational,"[33, 80, 294, 314, 378, 504, 564, 574, 650, 768, 771, 794, 802, 807, 820, 893, 932, 935, 1017, 1024, 1043, 1057, 1145, 1203, 1214, 1267, 1375, 1380, 1440, 1444, 1452, 1455, 1541, 1550, 1564, 1620, 1662, 1696, 1873, 1911, 1914, 1917]",C032114,1759,A
DB06480,Prucalopride,Small Molecule,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1,approved,"[13, 80, 272, 275, 317, 352, 361, 366, 387, 404, 441, 486, 561, 638, 650, 653, 656, 667, 695, 807, 841, 854, 875, 926, 935, 950, 1005, 1019, 1057, 1145, 1152, 1168, 1171, 1261, 1294, 1325, 1380, 1457, 1480, 1482, 1634, 1655, 1683, 1704, 1712, 1729, 1738, 1791, 1873, 1911, 1917, 1941, 1947, 1975, 1991]",C406662,1760,C
DB06486,Enzastaurin,Small Molecule,CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(C2CCN(CC3=CC=CC=N3)CC2)C2=CC=CC=C12,investigational,"[45, 80, 109, 172, 314, 326, 352, 378, 448, 452, 464, 511, 577, 650, 662, 724, 784, 847, 926, 935, 1019, 1057, 1060, 1088, 1114, 1145, 1153, 1155, 1199, 1261, 1277, 1285, 1286, 1325, 1357, 1380, 1389, 1409, 1437, 1452, 1480, 1488, 1573, 1594, 1657, 1750, 1752, 1765, 1791, 1801, 1858, 1862, 1866, 1873, 1910]",C504878,1761,C
DB06497,Aplaviroc,Small Molecule,[H][C@@]1(NC(=O)C2(CCN(CC3=CC=C(OC4=CC=C(C=C4)C(O)=O)C=C3)CC2)N(CCCC)C1=O)[C@H](O)C1CCCCC1,investigational,"[1, 2, 5, 80, 106, 175, 193, 227, 286, 294, 301, 310, 314, 322, 389, 456, 457, 466, 591, 650, 695, 713, 718, 764, 784, 790, 794, 807, 814, 890, 926, 935, 1019, 1028, 1057, 1060, 1114, 1138, 1145, 1162, 1252, 1280, 1325, 1375, 1380, 1385, 1404, 1480, 1506, 1565, 1617, 1634, 1683, 1685, 1697, 1750, 1754, 1765, 1771, 1791, 1873, 1882, 1911, 1917, 1978, 2020]",C499671,1762,C
DB06506,Repinotan,Small Molecule,O=C1N(CCCCNC[C@H]2CCC3=CC=CC=C3O2)S(=O)(=O)C2=CC=CC=C12,investigational,"[80, 142, 148, 175, 207, 213, 314, 352, 469, 567, 592, 650, 656, 667, 713, 750, 771, 879, 893, 926, 935, 984, 990, 1004, 1019, 1025, 1088, 1116, 1124, 1145, 1152, 1157, 1199, 1236, 1285, 1325, 1380, 1391, 1428, 1481, 1491, 1604, 1708, 1738, 1750, 1779, 1873, 1875, 1905, 1911, 1948, 1962]",C111221,1763,C
DB06510,Muraglitazar,Small Molecule,COC1=CC=C(OC(=O)N(CC(O)=O)CC2=CC=C(OCCC3=C(C)OC(=N3)C3=CC=CC=C3)C=C2)C=C1,investigational,"[13, 80, 90, 102, 116, 155, 310, 322, 367, 378, 389, 507, 587, 605, 650, 656, 695, 718, 720, 736, 781, 807, 831, 835, 841, 881, 978, 1034, 1047, 1057, 1088, 1147, 1160, 1187, 1190, 1199, 1243, 1263, 1380, 1446, 1452, 1536, 1585, 1604, 1722, 1729, 1737, 1750, 1754, 1757, 1801, 1855, 1873, 1897, 1917, 1918]",C500085,1764,A
DB06512,Deramciclane,Small Molecule,[H][C@]12CC[C@](C)(C1(C)C)[C@@](C2)(OCCN(C)C)C1=CC=CC=C1,investigational,"[13, 80, 184, 389, 495, 500, 528, 556, 643, 652, 679, 693, 695, 764, 772, 881, 926, 970, 1004, 1019, 1057, 1060, 1088, 1096, 1162, 1163, 1199, 1258, 1274, 1298, 1325, 1380, 1382, 1750, 1816, 1873, 1885, 1904, 1951, 2018]",C060555,1765,C
DB06515,Resiniferatoxin,Small Molecule,[H][C@]12O[C@]3(CC4=CC=CC=C4)O[C@]1(C[C@@]([H])(C)[C@]1(O3)[C@]3([H])C=C(C)C(=O)[C@@]3(O)CC(COC(=O)CC3=CC(OC)=C(O)C=C3)=C[C@@]21[H])C(C)=C,investigational,"[14, 61, 80, 147, 152, 171, 238, 249, 286, 290, 310, 314, 325, 389, 497, 549, 554, 614, 616, 646, 648, 650, 656, 679, 695, 745, 763, 807, 841, 855, 862, 875, 918, 926, 940, 961, 976, 1007, 1017, 1019, 1022, 1027, 1035, 1057, 1060, 1066, 1070, 1088, 1089, 1154, 1168, 1199, 1207, 1296, 1309, 1330, 1366, 1371, 1380, 1386, 1421, 1475, 1536, 1602, 1607, 1722, 1730, 1734, 1750, 1754, 1768, 1822, 1873, 1887, 1898, 1909, 1917, 1946, 1970, 2026, 2043]",C024353,1766,C
DB06518,R-1487,Small Molecule,CN1C(=O)C(OC2=CC=C(F)C=C2F)=CC2=C1N=C(NC1CCOCC1)N=C2,investigational,"[94, 182, 314, 378, 380, 504, 523, 544, 557, 564, 646, 650, 656, 695, 699, 716, 754, 770, 875, 926, 935, 950, 1009, 1019, 1057, 1142, 1143, 1145, 1152, 1176, 1223, 1325, 1380, 1405, 1410, 1452, 1487, 1535, 1582, 1589, 1600, 1617, 1634, 1670, 1696, 1750, 1795, 1840, 1855, 1873, 1928, 1934, 1945, 1964, 1970]",C558595,1767,C
DB06521,Ertiprotafib,Small Molecule,CC1=C(C)C2=C(C3=CC(C)=C(O[C@H](CC4=CC=CC=C4)C(O)=O)C(C)=C3)C3=CC=CC=C3C(Br)=C2S1,investigational,"[1, 39, 79, 80, 131, 162, 205, 252, 313, 333, 357, 389, 457, 509, 650, 664, 675, 695, 728, 739, 806, 807, 820, 828, 857, 875, 911, 1014, 1057, 1066, 1088, 1160, 1199, 1357, 1380, 1391, 1458, 1534, 1563, 1573, 1631, 1666, 1722, 1747, 1750, 1754, 1770, 1799, 1844, 1869, 1873, 1917, 1920, 1984]",C498182,1768,A
DB06525,Ganstigmine,Small Molecule,CCC1=C(NC(=O)OC2=CC3=C(C=C2)N(C)[C@H]2ON(C)CC[C@@]32C)C=CC=C1,investigational,"[80, 294, 322, 429, 555, 650, 656, 695, 716, 718, 742, 807, 853, 875, 878, 926, 935, 942, 959, 1013, 1019, 1057, 1060, 1088, 1144, 1145, 1152, 1162, 1199, 1214, 1224, 1274, 1295, 1349, 1379, 1380, 1383, 1480, 1597, 1608, 1696, 1710, 1729, 1750, 1758, 1799, 1807, 1816, 1858, 1873, 1884, 1915, 1917, 1958, 1979, 1980]",C447079,1769,C
DB06527,Tramiprosate,Small Molecule,NCCCS(O)(=O)=O,investigational,"[80, 350, 481, 592, 650, 807, 981, 1097, 1171, 1405, 1476, 1517, 1672, 1700, 1840, 1911]",C001355,1770,E
DB06529,Ocinaplon,Small Molecule,O=C(C1=C2N=CC=C(N2N=C1)C1=CC=NC=C1)C1=CC=CC=N1,investigational,"[9, 43, 51, 112, 378, 383, 412, 448, 471, 515, 552, 650, 787, 807, 855, 935, 1088, 1150, 1155, 1160, 1162, 1199, 1208, 1380, 1446, 1452, 1535, 1546, 1589, 1603, 1632, 1692, 1696, 1750, 1865, 1866, 1873, 1887, 1917, 1991]",C501948,1771,A
DB06530,Resiquimod,Small Molecule,CCOCC1=NC2=C(N)N=C3C=CC=CC3=C2N1CC(C)(C)O,investigational,"[80, 114, 183, 286, 289, 294, 318, 378, 389, 392, 423, 607, 695, 745, 802, 807, 855, 892, 935, 980, 1057, 1088, 1097, 1171, 1199, 1238, 1268, 1274, 1287, 1357, 1380, 1440, 1457, 1459, 1465, 1573, 1591, 1701, 1724, 1750, 1757, 1811, 1855, 1873, 1908, 1992]",C402365,1772,A
DB06532,Pafuramidine,Small Molecule,CONC(=N)C1=CC=C(C=C1)C1=CC=C(O1)C1=CC=C(C=C1)C(=N)NOC,investigational,"[40, 121, 193, 421, 475, 623, 656, 695, 807, 841, 865, 896, 957, 1057, 1104, 1122, 1152, 1160, 1171, 1328, 1380, 1385, 1604, 1697, 1750, 1873, 1897, 1937]",C458513,1773,A
DB06533,Ragaglitazar,Small Molecule,CCO[C@H](CC1=CC=C(OCCN2C3=CC=CC=C3OC3=C2C=CC=C3)C=C1)C(O)=O,investigational,"[1, 13, 79, 80, 102, 116, 187, 205, 294, 310, 316, 322, 389, 457, 588, 650, 656, 695, 718, 806, 807, 857, 935, 1034, 1057, 1088, 1101, 1145, 1199, 1238, 1241, 1291, 1295, 1380, 1452, 1481, 1625, 1647, 1750, 1754, 1783, 1810, 1832, 1844, 1873, 1905, 1917, 1919]",C432703,1774,A
DB06535,Etilevodopa,Small Molecule,CCOC(=O)[C@@H](N)CC1=CC=C(O)C(O)=C1,investigational,"[1, 79, 80, 147, 193, 292, 294, 310, 315, 589, 650, 695, 786, 807, 875, 919, 1017, 1057, 1171, 1238, 1380, 1475, 1602, 1607, 1722, 1750, 1754, 1818, 1849, 1873, 1917, 1990]",C481190,1775,A
DB06536,Tesaglitazar,Small Molecule,CCO[C@@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O,investigational,"[1, 13, 79, 80, 90, 102, 187, 205, 294, 310, 316, 322, 350, 389, 438, 457, 650, 692, 695, 718, 806, 807, 852, 857, 967, 1034, 1045, 1057, 1238, 1241, 1243, 1291, 1356, 1380, 1452, 1476, 1730, 1750, 1754, 1844, 1873, 1917, 2023]",C501413,1776,A
DB07399,Tesaglitazar,Small Molecule,CCO[C@@H](CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C(O)=O,investigational,"[1, 13, 79, 80, 90, 102, 187, 205, 294, 310, 316, 322, 350, 389, 438, 457, 650, 692, 695, 718, 806, 807, 852, 857, 967, 1034, 1045, 1057, 1238, 1241, 1243, 1291, 1356, 1380, 1452, 1476, 1730, 1750, 1754, 1844, 1873, 1917, 2023]",C501413,1776,A
DB06538,Robalzotan,Small Molecule,NC(=O)C1=C2C[C@H](COC2=C(F)C=C1)N(C1CCC1)C1CCC1,investigational,"[67, 140, 216, 231, 309, 361, 370, 392, 441, 461, 466, 534, 650, 656, 699, 701, 807, 809, 881, 926, 1019, 1028, 1063, 1134, 1171, 1294, 1307, 1325, 1380, 1391, 1731, 1750, 1840, 1873, 1917, 1923, 1928, 1977, 1991, 2045]",C108607,1777,C
DB06543,Astaxanthin,Small Molecule,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,investigational,"[31, 55, 56, 173, 251, 259, 276, 314, 332, 432, 618, 619, 650, 679, 694, 807, 835, 891, 926, 936, 953, 1017, 1019, 1057, 1060, 1093, 1108, 1257, 1274, 1288, 1319, 1380, 1515, 1626, 1722, 1742, 1957]",C005948,1778,C
DB06548,Minodronic acid,Small Molecule,OC(CC1=CN=C2C=CC=CN12)(P(O)(O)=O)P(O)(O)=O,investigational,"[3, 80, 114, 192, 378, 384, 486, 546, 600, 610, 650, 710, 807, 819, 888, 889, 935, 970, 1088, 1101, 1150, 1199, 1254, 1380, 1452, 1500, 1535, 1633, 1750, 1838, 1873, 1898, 1908, 1929, 1969]",C087958,1779,A
DB06549,Labradimil,Small Molecule,COC1=CC=C(C[C@@H](CN[C@@H](CCCN=C(N)N)C(O)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](CC2=CC=CS2)NC(=O)CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCN=C(N)N)C=C1,investigational,"[1, 14, 41, 79, 80, 91, 108, 117, 140, 143, 144, 151, 183, 193, 196, 197, 222, 241, 242, 310, 322, 351, 354, 383, 389, 412, 446, 462, 482, 488, 531, 551, 573, 590, 606, 624, 650, 656, 675, 689, 695, 718, 725, 736, 739, 781, 782, 786, 798, 804, 807, 831, 841, 849, 857, 859, 875, 890, 911, 926, 935, 978, 1019, 1028, 1057, 1061, 1079, 1088, 1110, 1152, 1171, 1256, 1257, 1292, 1325, 1348, 1380, 1393, 1433, 1440, 1466, 1480, 1505, 1535, 1536, 1567, 1616, 1620, 1624, 1688, 1715, 1744, 1750, 1754, 1755, 1826, 1844, 1849, 1873, 1911, 1917, 1926, 1970, 1984, 2004, 2016]",C089876,1780,C
DB06554,Gaboxadol,Small Molecule,O=C1NOC2=C1CCNC2,investigational,"[305, 314, 361, 466, 502, 618, 645, 650, 656, 675, 720, 750, 812, 912, 926, 1114, 1308, 1380, 1440, 1507, 1738, 1919, 1950]",C015542,1781,C
DB06555,Siramesine,Small Molecule,FC1=CC=C(C=C1)N1C=C(CCCCN2CCC3(CC2)OCC2=CC=CC=C32)C2=CC=CC=C12,investigational,"[45, 80, 90, 233, 286, 404, 432, 464, 528, 564, 609, 653, 656, 664, 699, 702, 893, 926, 935, 1017, 1060, 1088, 1133, 1145, 1162, 1184, 1197, 1199, 1236, 1243, 1260, 1280, 1285, 1314, 1349, 1357, 1380, 1410, 1433, 1460, 1480, 1482, 1527, 1573, 1670, 1673, 1708, 1750, 1791, 1825, 1860, 1873, 1911, 1928, 1980]",C109644,1782,C
DB06558,Tezosentan,Small Molecule,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=NC=C(C=C2)C(C)C)N=C(N=C1OCCO)C1=CC(=NC=C1)C1=NNN=N1,investigational,"[1, 13, 71, 80, 81, 90, 140, 222, 245, 249, 257, 268, 283, 333, 350, 378, 401, 473, 502, 552, 598, 650, 695, 708, 787, 807, 841, 875, 887, 897, 980, 983, 1057, 1083, 1088, 1104, 1114, 1152, 1160, 1164, 1199, 1218, 1245, 1266, 1270, 1281, 1302, 1365, 1369, 1380, 1385, 1410, 1447, 1452, 1454, 1476, 1495, 1535, 1536, 1588, 1617, 1618, 1750, 1804, 1853, 1855, 1866, 1871, 1873, 1897, 1946, 1970, 1985, 2004, 2005]",C120582,1783,A
DB06575,Valomaciclovir,Small Molecule,CC(C)[C@H](N)C(=O)OCC[C@@H](CO)CN1C=NC2=C1N=C(N)NC2=O,investigational,"[1, 13, 80, 113, 147, 149, 150, 196, 222, 283, 314, 334, 378, 417, 482, 633, 650, 695, 697, 727, 739, 742, 750, 786, 807, 932, 935, 1022, 1057, 1095, 1114, 1171, 1317, 1369, 1375, 1380, 1420, 1452, 1455, 1457, 1499, 1532, 1696, 1724, 1745, 1773, 1798, 1828, 1855, 1873, 1917, 1922, 1961]",C513295,1784,A
DB06579,Adipiplon,Small Molecule,CCCC1=C(CN2C=CN=C2C2=C(F)C=CC=N2)N=CN2N=C(C)N=C12,investigational,"[36, 39, 80, 131, 141, 147, 294, 323, 354, 374, 378, 387, 448, 571, 699, 707, 794, 847, 894, 932, 935, 1011, 1027, 1032, 1043, 1057, 1088, 1101, 1126, 1243, 1319, 1379, 1380, 1406, 1452, 1455, 1696, 1722, 1726, 1750, 1765, 1800, 1812, 1840, 1855, 1866, 1873, 1897, 1928, 1956, 2034, 2040]",C568848,1785,A
DB06582,Dextofisopam,Small Molecule,CC[C@@H]1C2=CC(OC)=C(OC)C=C2C(=NN=C1C)C1=CC=C(OC)C(OC)=C1,investigational,"[50, 51, 80, 94, 140, 249, 270, 294, 301, 352, 378, 393, 478, 571, 695, 724, 826, 841, 845, 875, 896, 1019, 1027, 1057, 1160, 1245, 1372, 1380, 1429, 1430, 1454, 1458, 1536, 1708, 1722, 1750, 1873, 1970]",C012582,1786,C
DB06586,Cetilistat,Small Molecule,CCCCCCCCCCCCCCCCOC1=NC2=C(C=C(C)C=C2)C(=O)O1,investigational,"[13, 80, 235, 294, 314, 378, 389, 591, 650, 656, 695, 711, 794, 800, 875, 954, 961, 1013, 1026, 1057, 1097, 1143, 1151, 1249, 1357, 1362, 1380, 1381, 1444, 1452, 1468, 1604, 1696, 1722, 1750, 1823, 1855, 1873, 1911]",C520092,1787,C
DB06587,Mitemcinal,Small Molecule,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C(C)C)[C@@]2(C)CC(C)=C(O2)[C@H](C)C(=O)[C@]1(C)OC,investigational,"[1, 42, 80, 122, 174, 176, 196, 206, 231, 269, 278, 283, 294, 314, 349, 438, 529, 560, 563, 644, 649, 650, 656, 679, 687, 695, 722, 750, 807, 822, 841, 869, 881, 886, 889, 926, 940, 941, 960, 1019, 1057, 1060, 1092, 1158, 1163, 1173, 1217, 1257, 1266, 1274, 1282, 1292, 1309, 1313, 1323, 1357, 1377, 1380, 1381, 1385, 1399, 1427, 1440, 1454, 1476, 1487, 1491, 1509, 1537, 1546, 1556, 1576, 1629, 1635, 1679, 1722, 1763, 1779, 1885, 1921, 1950, 1988, 1991]",C103741,1788,C
